iter,beta,n_train_samples,lambda_turn_forward,r2_turn,r2_forward,sign_agreement_turn,reach_food,reach_smoke,reach_reels,dist_reduction_food,dist_reduction_smoke,dist_reduction_reels,wall_s
0,1.0,8640,30.0,0.0017806158363511404,0.6622424078099011,0.5255319148936171,0.46875,0.15625,0.0,0.20267430552199123,-0.08739694925322845,-0.1379583098795839,126.31591606140137
1,0.5,17280,10.0,-0.0005151847133835208,0.6481919065453652,0.49416484318016046,0.875,0.21875,0.03125,0.3024964696032161,0.02333205714862544,-0.06012003036903928,124.31313800811768
2,0.3,25920,0.01,0.02229274007607973,0.6495748582221124,0.5329277022190408,0.875,0.25,0.0625,0.3246813424142967,-0.02132719324857741,-0.19792512952911284,125.42007184028625
3,0.2,34560,0.01,0.02371205734730497,0.521064476829472,0.5768421052631579,0.9375,0.3125,0.0625,0.33815516630072395,0.024986660512982192,-0.11469988623385594,128.79645681381226
4,0.1,43200,0.01,0.04240313526941908,0.5784902063518726,0.5957446808510638,1.0,0.625,0.1875,0.34369457410410725,0.16439602930877653,-0.05948697420111749,129.88182520866394
5,0.0,51840,0.01,0.09592327149222235,0.3993174824710144,0.6685334266713335,0.96875,0.53125,0.15625,0.344594917108876,0.12744679184568364,0.029098613391861587,122.24058389663696
6,0.0,60480,0.01,0.09637227867628262,0.4135624741526578,0.6662016044645971,0.9375,0.53125,0.125,0.3117354057706621,0.11216394936590723,-0.030812157487086864,121.38541007041931
7,0.0,69120,0.01,0.0674159677190207,0.4729931473365916,0.6590038314176245,0.96875,0.625,0.21875,0.3425806700076999,0.11781689254565644,0.021950952730255463,122.78682804107666
