gen,wall_s,fitness_mean,fitness_max,welfare_mean,welfare_max,frac_food,frac_smoke,frac_reels,compulsion_smoke,compulsion_reels,mean_withdrawal,final_tolerance,mean_dan_rate_hz
0,71.8021469116211,-11.714622029860038,7.502340669278055,-11.714622029860038,7.502340669278055,0.002395833333333333,0.0009375,0.00125,0.001053370786516854,0.0014044943820224719,0.0001593489274238578,0.0,29.551895391444365
1,70.27701187133789,-12.135788292900543,-0.6478008287958801,-12.135788292900543,-0.6478008287958801,0.0009375,0.004895833333333334,0.0,0.0024578651685393258,0.0,0.0055907073689416935,0.010095553029786528,29.664086991697552
2,71.28476476669312,-11.401745149574708,7.0725534949451685,-11.401745149574708,7.0725534949451685,0.0040625,0.003541666666666667,0.00125,0.0035112359550561797,0.0014044943820224719,0.005057598741528012,0.013062744273122887,29.708397170140717
3,71.08965396881104,-12.934242052360787,-12.742750068660825,-12.934242052360787,-12.742750068660825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.88919399908123
4,71.8140218257904,-9.414460673142457,4.429095433093607,-9.414460673142457,4.429095433093607,0.010729166666666668,0.0009375,0.0025,0.0010943579766536965,0.002843966593482285,0.000533710378228931,0.0022418428900349914,29.946281124899787
5,72.4717071056366,-10.874666554576834,10.093921879772097,-10.874666554576834,10.093921879772097,0.005208333333333334,0.00125,0.0,0.0013170498084291188,0.0,0.0016801113647886524,0.004971128016420273,29.64671536380115
