gen,wall_s,fitness_mean,fitness_max,welfare_mean,welfare_max,frac_food,frac_smoke,frac_reels,compulsion_smoke,compulsion_reels,mean_withdrawal,final_tolerance,mean_dan_rate_hz,mean_dan_rate_driven_hz
0,92.17945408821106,-1.687527197308313,32.680140818003565,-2.250027197308313,31.930140818003565,0.11276041666666667,0.0,0.018802083333333334,0.0,0.023056241733909032,0.0,0.0,0.0,10.007427214570342
1,88.70423126220703,23.36167498743464,129.89204409735976,11.68979998743464,44.481120027485304,0.4122395833333333,0.03875,0.0005208333333333333,0.055602751289332966,0.0005852059925093633,0.022099400068914442,0.10935421171091457,0.0,11.542784116230905
2,89.54900074005127,37.39610520805428,115.35652242737706,9.07579270805428,46.481429631239735,0.48411458333333335,0.09385416666666668,0.002395833333333333,0.11770347650531887,0.0021390039033999707,0.06431589840331252,0.1928210306240424,0.0,17.908547737722596
3,93.85699892044067,117.52655080487239,201.83619453548454,-50.340636695127614,-6.270990293938667,0.09145833333333334,0.5580729166666667,0.00875,0.5923523497635332,0.009115738479765139,0.3216320651315002,0.6726768432890043,0.0,60.76896216560155
4,95.8575439453125,91.84092629843673,190.8211498464225,-32.41688620156327,13.523047672322718,0.08208333333333333,0.41286458333333337,0.01625,0.45947155534854417,0.007550652924028467,0.23503864881263845,0.6625575516424399,0.0,47.15654998414218
5,96.12633299827576,66.95982409917156,177.1668464031536,2.2957615991715556,40.65660430310527,0.25526041666666666,0.215,0.0028645833333333336,0.2750169875569915,0.0031599393227232865,0.10737730832941234,0.4462738740849179,0.0,29.229938339603443
6,97.73621606826782,85.23185685605156,182.654824968311,-16.455643143948436,43.93901812785771,0.10770833333333334,0.3341145833333333,0.01984375,0.39409793877260435,0.01590863798622831,0.16313477821560152,0.5600646473109476,0.0,40.35890378277749
7,96.9653811454773,179.01277739516667,197.13472694670781,-70.26847260483333,-9.343561235458765,0.0,0.8301562499999999,0.0030208333333333333,0.914559925093633,0.0013459737827715356,0.41494638811714374,0.96875,0.0,82.72035675453643
8,96.95306587219238,122.35978498472622,190.0932866585208,-36.92146501527378,20.602531641235146,0.025260416666666667,0.5296875,0.00390625,0.5882546188793885,0.0030335860762671,0.260877107026887,0.7628648622895435,0.0,56.36590626161545
9,98.7364239692688,147.20945665654259,196.89852160424925,-55.134293343457415,-21.434826510609128,0.008697916666666666,0.6736979166666667,0.003125,0.7181495766690215,0.0031956118962274574,0.33497828215176123,0.8033980668272585,0.0,70.2293254988889
10,102.57715916633606,147.77223096932704,196.6459937809268,-53.69651903067296,-3.1733905061173573,0.00671875,0.67078125,0.005364583333333333,0.7381788389513109,0.002207959605214512,0.3311978786641351,0.8237922673277338,0.0,71.27714463483542
