iter,beta,n_train_samples,lambda_turn_forward,r2_turn,r2_forward,sign_agreement_turn,reach_food,reach_smoke,reach_reels,dist_reduction_food,dist_reduction_smoke,dist_reduction_reels,wall_s
0,1.0,8640,30.0,0.006424351932508676,0.7911678376207198,0.5336879432624113,0.21875,0.25,0.34375,0.1822972134630561,0.24043723626819005,0.12392066950857317,108.5840539932251
1,0.5,17280,3.0,0.018046670481735028,0.738651117068142,0.5480905233380481,0.5625,0.46875,0.75,0.2769772198759467,0.2917764814861323,0.23031823592776499,109.87251305580139
2,0.3,25920,30.0,0.07829275342093112,0.7037365305164806,0.6142602495543672,0.78125,0.78125,0.8125,0.3246850660506193,0.3547908388653337,0.13296959365493813,108.85379600524902
3,0.2,34560,3.0,0.06939026697797657,0.6068609854037026,0.6042179261862918,0.84375,0.65625,0.78125,0.324562375998732,0.3199920640514142,0.30351164369632144,109.92271590232849
4,0.1,43200,0.01,0.1074426308200298,0.643857199891195,0.6177808890444523,0.875,0.8125,0.9375,0.3278102393365304,0.32115685741808697,0.28259022110093174,112.77823090553284
5,0.0,51840,0.01,0.0943282191641367,0.35310617846727654,0.6348707197763801,0.875,0.75,0.90625,0.3281880372307086,0.3074235191035163,0.31348900436944593,119.7210910320282
6,0.0,60480,100.0,0.10325603436285158,0.5321583426430025,0.6515837104072398,0.875,0.875,0.84375,0.33441387155902424,0.3491309312468293,0.2219070375408707,109.84397172927856
7,0.0,69120,30.0,0.13216703816720876,0.6269990679541724,0.6558464223385689,0.9375,0.9375,1.0,0.3131300884722866,0.3703051666003352,0.343292586369324,110.57705402374268
