iter,beta,n_train_samples,lambda_turn_forward,r2_turn,r2_forward,sign_agreement_turn,reach_food,reach_smoke,reach_reels,dist_reduction_food,dist_reduction_smoke,dist_reduction_reels,wall_s
0,1.0,8640,30.0,0.006488279097984773,0.7939312912560865,0.5411347517730496,0.1875,0.25,0.3125,0.21001093518533767,0.24399950763451148,0.21803269451266383,105.83055281639099
1,0.5,17280,10.0,0.026005022864425187,0.7322331904072724,0.5491598140865213,0.4375,0.5,0.90625,0.2910380646672972,0.3261509145843997,0.3748830563086004,115.11933016777039
2,0.3,25920,30.0,0.0541164552899116,0.7642160680821017,0.5656350053361793,0.6875,0.59375,1.0,0.31299822366634644,0.33982116290296766,0.34822551733628404,121.52911686897278
3,0.2,34560,1.0,0.062321696077993205,0.6742617910237312,0.5900490539593553,0.90625,0.59375,1.0,0.3282144411436597,0.34339322178096027,0.3581722279276266,109.31867408752441
4,0.1,43200,100.0,0.08575415067398406,0.609110023041274,0.6178321678321679,0.8125,0.875,0.9375,0.327784436858824,0.3527750113551031,0.3070494725252341,108.74259996414185
5,0.0,51840,10.0,0.11445597656051121,0.4177197858560986,0.6481481481481481,0.96875,1.0,1.0,0.3375849583614007,0.36641778521413326,0.32233645017344814,108.53457808494568
6,0.0,60480,100.0,0.09934207099171943,0.5027299139077387,0.6347765363128491,1.0,0.96875,1.0,0.33942000671720396,0.3648503913468477,0.3446672134299602,108.13844394683838
7,0.0,69120,3.0,0.12808149573486993,0.5813095350895623,0.6644599303135889,1.0,1.0,0.96875,0.33900397113957537,0.37280243783172207,0.3435643643702152,108.50450706481934
