gen,wall_s,fitness_mean,fitness_max,welfare_mean,welfare_max,frac_food,frac_smoke,frac_reels,compulsion_smoke,compulsion_reels,mean_withdrawal,final_tolerance,mean_dan_rate_hz,mean_dan_rate_driven_hz
0,45.6830780506134,0.22920774303157404,6.683628901616206,-6.139599036350674,49.96414672600804,0.04572916666666667,0.002395833333333333,0.029166666666666667,0.002796692607003891,0.028571714831169208,0.006116431918235065,0.018924514758050622,0.0,9.928782950788737
1,47.04314589500427,0.5102508127192596,5.198974433995158,-2.0906626100954817,47.651775264996104,0.035104166666666665,0.029270833333333333,0.0067708333333333336,0.03311021778878764,0.007637629390427321,0.019676186417424815,0.11049642391897549,0.0,13.899452716062466
2,47.164794921875,2.7414154361263634,12.084021019722947,-3.8324367431416704,57.818404365942115,0.08677083333333334,0.03666666666666667,0.015416666666666669,0.04236738678271258,0.010857175996320696,0.06659809888848212,0.21994434317049003,0.0,15.907037118623656
3,47.66455602645874,19.004972104439386,50.517717747872666,-84.20314255446283,-4.6952339873532765,0.004791666666666667,0.16041666666666668,0.0065625,0.13532433934673294,0.0074929682020979755,0.41891837334511406,0.6819655836072266,0.0,29.54459408444663
4,46.07289981842041,3.4972776653267257,19.27605517046611,-18.14549984412406,39.65528148354497,0.029062499999999998,0.08677083333333334,0.0027083333333333334,0.10623006214210447,0.0032492415745052888,0.1292581100388757,0.4427922834939549,0.0,19.694864507193365
5,47.193294048309326,3.626906005300723,12.263488098068727,1.6508862357957241,41.46241765713785,0.10645833333333335,0.04958333333333334,0.0225,0.06122518946368819,0.019798662259175377,0.04798167317443025,0.19415463033375355,0.0,16.270078405290842
6,47.66063380241394,3.0540362873915585,9.22875853852183,-15.83003343946649,24.796659540385008,0.003541666666666667,0.08552083333333334,0.042708333333333334,0.09609082397003746,0.03160112359550562,0.09904672544807104,0.4572486295394951,0.0,19.841799287199972
7,46.55382704734802,2.664139978736709,24.522713582020092,-19.17707375175928,53.49382249341579,0.0196875,0.20083333333333336,0.0025,0.22578178200544774,0.0028089887640449437,0.14658752988171903,0.5695769406207133,0.0,29.143159006486336
8,51.467185974121094,0.9444821523769578,7.286612280326163,-4.911915420078429,39.319835668604355,0.030625,0.0559375,0.006562500000000001,0.06416496228818441,0.007410939674786976,0.04530515441759461,0.20970139887349834,0.0,20.82033655794958
9,46.926121950149536,0.5817480074018953,8.933760915139148,-14.183899156083513,26.041267062930274,0.0009375,0.10020833333333333,0.0011458333333333333,0.11235955056179775,0.0012874531835205994,0.07080385096846836,0.30731176326512366,0.0,18.175478738198677
10,47.498997926712036,1.1991418526796047,15.667059965088105,-6.6914046455372045,34.87117176980246,0.011979166666666666,0.10427083333333333,0.02791666666666667,0.11726288830138797,0.030643190962746047,0.047792988253528484,0.26999665996786326,0.0,19.58182316166659
11,48.76555299758911,0.7321920499822043,8.914887192703416,-9.00826289869508,41.93383578018984,0.035625000000000004,0.05427083333333334,0.0029166666666666664,0.06101084735977261,0.0032771535580524347,0.053621235094628364,0.20421731290228645,0.0,16.996098049109182
12,47.72407913208008,2.1004076937604967,13.351586757676484,-22.428552250551505,50.86102682492492,0.013854166666666667,0.13760416666666667,0.012812500000000001,0.15461142322097376,0.014206675873271478,0.1347875539070763,0.43063002643115345,0.0,21.794467981706063
13,48.68333315849304,3.255028155622072,20.518943378251826,1.2916666648927162,65.18491699729202,0.12364583333333332,0.09760416666666664,0.012083333333333331,0.1331039301510432,0.004542870518994114,0.0982744525727101,0.36175756717438434,0.0,20.827448856582244
14,48.377360820770264,6.056712896093604,63.227837560341534,-26.215991487440526,42.904024378243776,0.026041666666666664,0.10604166666666667,0.0046875,0.11509405856315968,0.00526685393258427,0.16166016206465622,0.32448271562576386,0.0,21.249528438150882
15,47.940444231033325,2.0133694305307954,12.503366306465528,-20.493417388802072,43.99433638973278,0.0196875,0.07979166666666666,0.015208333333333334,0.08971006069998708,0.011849212245024299,0.11172629072341914,0.35187935334507786,0.0,18.472338050877056
16,47.96694803237915,2.1841215201329165,6.997412105635735,-15.429940955711345,55.569303220836446,0.0228125,0.10833333333333334,0.012395833333333333,0.12275630374121912,0.01397153728250518,0.114936518774854,0.4574432409674195,0.0,20.75443777486682
17,48.50825810432434,2.201443230962587,23.184631770807353,-29.798451880151333,17.487938208971173,0.006979166666666667,0.06322916666666667,0.019375,0.07080992509363296,0.014044943820224719,0.14242772091216757,0.4091026299363533,0.0,17.988985815842945
18,47.32464098930359,6.8801623526373765,23.401335462397242,-43.59776789409807,21.545887178741395,0.004895833333333334,0.08583333333333333,0.008541666666666666,0.08368445692883894,0.009382202535292424,0.2124866070366216,0.4167002752999988,0.0,18.52413814249138
19,47.90672302246094,2.300421789072491,15.858937662198949,-32.80698990372798,4.8967195603763685,0.003958333333333334,0.09020833333333333,0.013125,0.10124063670411985,0.014161985018726593,0.15733062250462185,0.48124236773503637,0.0,20.468781949058172
20,48.78923511505127,4.045547762104409,13.603020169624429,-33.03772353669501,13.470690855174325,0.022708333333333334,0.051041666666666666,0.010520833333333333,0.054065451052321425,0.011835422496242903,0.17036994478613493,0.31330139325449646,0.0,17.386801753416655
