gen,wall_s,fitness_mean,fitness_max,welfare_mean,welfare_max,frac_food,frac_smoke,frac_reels,compulsion_smoke,compulsion_reels,mean_withdrawal,final_tolerance,mean_dan_rate_hz,mean_dan_rate_driven_hz
0,46.234976053237915,0.22920774303157404,6.683628901616206,-6.139599036350674,49.96414672600804,0.04572916666666667,0.002395833333333333,0.029166666666666667,0.002796692607003891,0.028571714831169208,0.006116431918235065,0.018924514758050622,0.0,9.928782950788737
1,46.4347198009491,1.1555573469028269,11.744323046773557,-3.9509452357252046,59.665432811074425,0.0415625,0.010520833333333333,0.00625,0.012182563630621746,0.007141270719024614,0.026973344516956356,0.050053127383277995,0.0,11.316559913779297
2,50.169938802719116,1.1423208061656294,6.098246150047751,7.094998588659962,56.03649030509405,0.07677083333333334,0.02270833333333333,0.01572916666666667,0.02567134448345816,0.016656393958651556,0.017266761747875878,0.11076727385958877,0.0,12.653952936107913
3,55.047744035720825,25.148706520156754,55.83966808451848,-98.30869992356435,-10.918604395461443,0.0005208333333333333,0.2625,0.006458333333333333,0.2521067415730337,0.0072565543071161035,0.4988257606863642,0.757823741407333,0.0,36.77215591400862
4,47.99161219596863,2.6659684751416473,10.834484884996144,2.68433821901516,49.453748317901045,0.08260416666666667,0.04145833333333333,0.0016666666666666668,0.05840954425923683,0.0020729435798834345,0.04564851189298495,0.18416885001913375,0.0,13.269637760967017
5,54.47317290306091,3.3445976814318694,8.57732449593631,8.222860593787004,44.718859402795715,0.16489583333333332,0.014375,0.004166666666666667,0.018479677094035044,0.00453142566810492,0.01471410801657061,0.08898542934942003,0.0,9.934227310866117
6,56.362098932266235,4.805988849883079,10.936031925595811,1.49416604333058,53.67864561418537,0.050833333333333335,0.04822916666666667,0.05541666666666666,0.05419900934900078,0.03024549985556413,0.03900954598846104,0.16518715656648736,0.0,16.00399707352122
7,49.667555809020996,3.289279983034186,15.29093271879606,-7.9519303588504044,40.84292091222596,0.1225,0.07604166666666667,0.0040625,0.085829216107787,0.004590941011235955,0.09281591769162624,0.25360017904461357,0.0,17.933031625722847
8,49.58299803733826,1.7144024953940953,8.403260532451824,0.33404399396303575,71.89209823479177,0.07270833333333333,0.021458333333333336,0.00875,0.024223404761834072,0.009859809584544243,0.031221450432482138,0.09948392443760724,0.0,13.74263626396656
9,47.82483410835266,4.237069901219181,15.117610655278485,-15.099699158576811,56.884403960662894,0.0609375,0.07510416666666667,0.0038541666666666663,0.0802864515286125,0.004841136872831181,0.148989281591771,0.34983908039736106,0.0,16.663331174626947
10,46.400875091552734,1.9626106287105427,8.500922114156422,-1.5284995379134898,52.717957273183856,0.08197916666666667,0.026875000000000003,0.013541666666666667,0.029611423220973786,0.014396067415730338,0.05829197904685753,0.19287035488078783,0.0,10.821815458064279
11,48.894118785858154,2.574790405548178,8.989719065300635,5.290668360541758,49.97763102434692,0.21312499999999995,0.013333333333333332,0.006458333333333333,0.015090509679075442,0.0067977703470102685,0.03328765925986598,0.07610235618791879,0.0,11.765263352965315
12,52.22337794303894,1.6755135957540352,14.20003911004306,-15.151891947673558,67.04294278938323,0.020104166666666666,0.05614583333333333,0.021875,0.06308520599250936,0.02252160358211454,0.07782613653013455,0.2369241031647575,0.0,19.315175396104657
13,48.58871674537659,5.769145719081023,8.832516396122994,13.657380008030259,66.95499058184214,0.3996875,0.021979166666666668,0.003125,0.01907651688950711,0.0018726591760299626,0.041511324104862975,0.12092492392699018,0.0,12.450119865884382
14,47.170846939086914,6.596740777153777,32.857896369453776,-19.666473454207,74.20872318208421,0.06760416666666666,0.0471875,0.004270833333333333,0.03980746050195876,0.004826043789434433,0.15297155104369947,0.2705712389709668,0.0,13.393693665737906
15,47.870660066604614,2.1881485185564444,16.878771486843537,-19.511037907851232,37.181147514857,0.018229166666666668,0.059062500000000004,0.0121875,0.06636487116426355,0.010390043561428045,0.1066279330737735,0.2578495675481488,0.0,15.60057941603164
16,49.24283790588379,3.0380869005581017,9.234735405739618,-1.310480004639743,33.7042372263968,0.08687500000000001,0.023958333333333335,0.0103125,0.028009053138742884,0.012291670113347286,0.0428988306168258,0.11998306589605702,0.0,14.556143310517072
17,48.11551904678345,2.341788758513569,10.156610924507449,-13.230484034740812,53.28993115690537,0.06510416666666667,0.03135416666666667,0.013437500000000002,0.033707865168539325,0.010416666666666668,0.0792427182026281,0.19397245001487812,0.0,14.257993765225013
18,50.9970600605011,15.7359110920179,49.23115325324771,-63.657166717014434,7.105444243643433,0.017916666666666668,0.07854166666666666,0.009583333333333333,0.05114700374531835,0.010767790262172287,0.3250947507199242,0.37897051956357064,0.0,22.411757784858345
19,48.322163343429565,1.881440781741006,5.306602180106336,-18.856884356871433,47.154035755083896,0.01604166666666667,0.054791666666666676,0.025520833333333333,0.061563670411985016,0.024110486891385764,0.10370617159522084,0.2852163237298966,0.0,15.980646126518646
20,49.38863205909729,7.354605459186537,45.452670299880126,-30.575267387623967,49.79071370116435,0.075,0.07364583333333333,0.004479166666666666,0.07350187265917603,0.005049693154641036,0.18596703712649232,0.3162034377932611,0.0,20.05875548399985
21,49.09349298477173,6.882715944325081,38.91318883695724,-32.5223730904753,52.4412300142576,0.0446875,0.061875,0.007083333333333334,0.06533724008782127,0.007579891143265164,0.19342353059516246,0.31060873427235614,0.0,18.032383330861727
22,47.02183413505554,2.4656781734127104,8.55671215478554,-3.6442698482978813,45.154836755245924,0.1875,0.0240625,0.0065625,0.02635945714866838,0.007407049741001977,0.03814409621462602,0.11972662189953737,0.0,12.837770944585403
23,45.56406784057617,4.768932547651313,9.562181242537319,-0.49833905440539183,36.50172557455153,0.30822916666666667,0.036875000000000005,0.00125,0.04253229962231953,0.001517479697407943,0.0921560324033936,0.22100690114674615,0.0,12.151498262087504
24,48.07754373550415,4.022329690145578,30.620790245026082,-6.348958071830168,55.325088229903486,0.12541666666666665,0.045937500000000006,0.0008333333333333334,0.05262715847342771,0.0009454378524898353,0.09143047669065175,0.19865953444974585,0.0,15.385731709723672
